State,AppliedSetting,OffloadState,Caption,Description,ElementName,InstanceID,CommunicationStatus,DetailedStatus,HealthState,InstallDate,Name,OperatingStatus,OperationalStatus,PrimaryStatus,Status,StatusDescriptions,AvailableRequestedStates,EnabledDefault,EnabledState,OtherEnabledState,RequestedState,TimeOfLastStateChange,TransitioningToState,AggregationBehavior,Directionality,CreationTime,LocalAddress,LocalPort,OwningProcess,RemoteAddress,RemotePort,PSComputerName
Bound,,InHost,,,,::++38604++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,38604,1356,::,0,
Bound,,InHost,,,,::++38582++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,38582,12592,::,0,
Bound,,InHost,,,,::++32383++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,::,32383,1444,::,0,
Bound,,InHost,,,,::++29161++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:24,::,29161,1444,::,0,
Bound,,InHost,,,,::++23091++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:23,::,23091,5292,::,0,
Bound,,InHost,,,,::++22942++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,22942,4248,::,0,
Bound,,InHost,,,,::++20505++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,20505,3040,::,0,
Bound,,InHost,,,,::++19090++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,19090,5292,::,0,
Bound,,InHost,,,,::++14443++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,::,14443,1444,::,0,
Bound,,InHost,,,,::++13631++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:24,::,13631,1444,::,0,
Bound,,InHost,,,,::++7696++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,::,7696,7204,::,0,
Bound,,InHost,,,,::++7695++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,::,7695,7204,::,0,
Bound,,InHost,,,,::++3251++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,::,3251,18460,::,0,
Bound,,InHost,,,,::++1659++::++0,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,::,1659,1444,::,0,
Listen,,InHost,,,,::++49669++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49669,612,::,0,
Listen,,InHost,,,,::++49668++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49668,3836,::,0,
Listen,,InHost,,,,::++49667++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49667,2420,::,0,
Listen,,InHost,,,,::++49666++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49666,1780,::,0,
Listen,,InHost,,,,::++49665++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49665,964,::,0,
Listen,,InHost,,,,::++49664++::++0,,,,,,,,,,,,2,,,5,,12,,,14/05/2026 17:31,::,49664,956,::,0,
Established,Internet,InHost,,,,2401:4900:ad30:cb93:834:2a76:2775:88c6++38604++2a03:2880:f379:120:face:b00c:0:167++443,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,2401:4900:ad30:cb93:834:2a76:2775:88c6,38604,1356,2a03:2880:f379:120:face:b00c:0:167,443,
Established,Internet,InHost,,,,2401:4900:ad30:cb93:834:2a76:2775:88c6++38582++2603:1040:a03:9::1aa++443,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:21,2401:4900:ad30:cb93:834:2a76:2775:88c6,38582,12592,2603:1040:a03:9::1aa,443,
Established,Internet,InHost,,,,2401:4900:ad30:cb93:834:2a76:2775:88c6++32383++2603:1061:10:1::254++443,,,,,,,,,,,,2,,,5,,12,,,15/05/2026 10:22,2401:4900:ad30:cb93:834:2a76:2775:88c6,32383,1444,2603:1061:10:1::254,443,
